,DeathCause,Percentage
0,Coronary Heart Disease,20.07
1,Stroke,8.05
2,Influenza and Pneumonia,7.51
3,Low Birth Weight,6.70
4,Diarrhoeal diseases,3.97
5,Road Traffic Accidents,3.86
6,Birth Trauma,3.68
7,Kidney Disease,2.88
8,Congenital Anomalies,2.81
9,Tuberculosis,2.33
10,Diabetes Mellitus,2.28
11,Syphilis,2.23
12,Lung Disease,2.15
13,Liver Disease,1.91
14,Alzheimers & Dementia,1.84
15,War,1.63
16,Other Injuries,1.56
17,Malaria,1.42
18,Maternal Conditions,1.41
19,Drownings,1.33
20,Leishmaniasis,1.28
21,Suicide,1.27
22,HIV/AIDS,1.19
23,Asthma,1.04
24,Falls,1.01
25,Violence,0.96
26,Fires,0.84
27,Endocrine Disorders,0.84
28,Breast Cancer,0.81
29,Hypertension,0.76
30,Lymphomas,0.70
31,Rheumatic Heart Disease,0.65
32,Meningitis,0.63
33,Poisonings,0.61
34,Inflammatory/Heart,0.58
35,Other Neoplasms,0.50
36,Oral Cancer,0.49
37,Malnutrition,0.48
38,Leukemia,0.44
39,Oesophagus Cancer,0.43
40,Liver Cancer,0.41
41,Epilepsy,0.41
42,Peptic Ulcer Disease,0.40
43,Colon-Rectum Cancers,0.38
44,Prostate Cancer,0.33
45,Schistosomiasis,0.32
46,Measles,0.27
47,Ovary Cancer,0.26
48,Cervical Cancer,0.23
49,Drug Use,0.18
