,DeathCause,Percentage
0,Coronary Heart Disease,21.91
1,Alzheimers & Dementia,12.55
2,Stroke,8.38
3,Lung Disease,5.52
4,Lung Cancers,5.02
5,Colon-Rectum Cancers,4.12
6,Influenza and Pneumonia,3.57
7,Prostate Cancer,3.40
8,Diabetes Mellitus,2.81
9,Pancreas Cancer,2.38
10,Breast Cancer,2.12
11,Hypertension,2.02
12,Suicide,1.92
13,Lymphomas,1.83
14,Other Injuries,1.72
15,Kidney Disease,1.49
16,Falls,1.40
17,Other Neoplasms,1.36
18,Parkinson's Disease,1.13
19,Leukemia,1.13
20,Liver Disease,1.07
21,Liver Cancer,1.00
22,Bladder Cancer,0.94
23,Skin Cancers,0.88
24,Endocrine Disorders,0.87
25,Stomach Cancer,0.85
26,Inflammatory/Heart,0.79
27,Oesophagus Cancer,0.77
28,Ovary Cancer,0.76
29,Oral Cancer,0.52
30,Drug Use,0.48
31,Alcohol,0.47
32,Uterin Cancer,0.46
33,Congenital Anomalies,0.42
34,Diarrhoeal diseases,0.37
35,Road Traffic Accidents,0.37
36,Peptic Ulcer Disease,0.36
37,Cervical Cancer,0.29
38,Skin Disease,0.26
39,Asthma,0.22
40,Multiple Sclerosis,0.20
41,Anemia,0.20
42,Encephalitis,0.19
43,Rheumatoid Arthritis,0.17
44,Drownings,0.17
45,Epilepsy,0.16
46,Rheumatic Heart Disease,0.16
47,Malnutrition,0.13
48,Violence,0.13
49,Low Birth Weight,0.08
