,DeathCause,Percentage
0,Coronary Heart Disease,20.15
1,Alzheimers & Dementia,12.47
2,Stroke,6.46
3,Lung Cancers,5.97
4,Lung Disease,5.04
5,Colon-Rectum Cancers,3.37
6,Falls,3.26
7,Influenza and Pneumonia,3.26
8,Hypertension,3.14
9,Breast Cancer,2.67
10,Prostate Cancer,2.63
11,Suicide,2.51
12,Diabetes Mellitus,2.40
13,Pancreas Cancer,2.30
14,Lymphomas,1.85
15,Kidney Disease,1.84
16,Inflammatory/Heart,1.74
17,Parkinson's Disease,1.43
18,Liver Cancer,1.36
19,Liver Disease,1.21
20,Leukemia,1.16
21,Other Neoplasms,1.12
22,Bladder Cancer,1.08
23,Stomach Cancer,1.08
24,Oesophagus Cancer,0.91
25,Endocrine Disorders,0.87
26,Skin Cancers,0.87
27,Oral Cancer,0.80
28,Ovary Cancer,0.78
29,Other Injuries,0.64
30,Congenital Anomalies,0.57
31,Road Traffic Accidents,0.45
32,Alcohol,0.41
33,Uterin Cancer,0.41
34,Drug Use,0.32
35,Osteoarthritis,0.30
36,Multiple Sclerosis,0.27
37,Diarrhoeal diseases,0.26
38,Epilepsy,0.25
39,Peptic Ulcer Disease,0.22
40,Skin Disease,0.18
41,Low Birth Weight,0.18
42,Asthma,0.18
43,Encephalitis,0.17
44,Cervical Cancer,0.16
45,Schizophrenia,0.15
46,Malnutrition,0.14
47,Anemia,0.14
48,Rheumatic Heart Disease,0.14
49,Rheumatoid Arthritis,0.11
