,DeathCause,Percentage
0,Influenza and Pneumonia,10.19
1,HIV/AIDS,9.08
2,Diarrhoeal diseases,8.49
3,Tuberculosis,7.58
4,Coronary Heart Disease,6.53
5,Road Traffic Accidents,5.24
6,Malaria,5.18
7,Birth Trauma,4.43
8,Low Birth Weight,3.71
9,Stroke,3.61
10,Malnutrition,2.92
11,Congenital Anomalies,2.82
12,Maternal Conditions,2.75
13,Diabetes Mellitus,1.77
14,Other Injuries,1.77
15,Meningitis,1.75
16,Liver Disease,1.69
17,Cervical Cancer,1.30
18,Alzheimers & Dementia,1.25
19,Lung Disease,1.24
20,Violence,1.18
21,Hypertension,1.13
22,Falls,1.12
23,Syphilis,0.91
24,Prostate Cancer,0.89
25,Drownings,0.86
26,Suicide,0.83
27,Fires,0.77
28,Endocrine Disorders,0.74
29,Kidney Disease,0.72
30,Oesophagus Cancer,0.62
31,Asthma,0.60
32,Inflammatory/Heart,0.47
33,Oral Cancer,0.47
34,Skin Disease,0.46
35,Breast Cancer,0.44
36,Peptic Ulcer Disease,0.41
37,Poisonings,0.41
38,Epilepsy,0.35
39,Hepatitis B,0.32
40,Colon-Rectum Cancers,0.31
41,Stomach Cancer,0.22
42,Other Neoplasms,0.22
43,Schistosomiasis,0.21
44,Lymphomas,0.19
45,Tetanus,0.18
46,Liver Cancer,0.18
47,Alcohol,0.17
48,Rheumatic Heart Disease,0.16
49,Bladder Cancer,0.16
