,DeathCause,Percentage
0,Coronary Heart Disease,33.63
1,Stroke,12.46
2,Liver Disease,5.96
3,Influenza and Pneumonia,4.24
4,Low Birth Weight,3.19
5,Road Traffic Accidents,2.70
6,Birth Trauma,2.59
7,Congenital Anomalies,2.54
8,Kidney Disease,2.42
9,HIV/AIDS,2.39
10,Oesophagus Cancer,1.98
11,Diabetes Mellitus,1.87
12,Stomach Cancer,1.69
13,Alzheimers & Dementia,1.62
14,Diarrhoeal diseases,1.61
15,Lung Cancers,1.54
16,Hypertension,1.52
17,Inflammatory/Heart,1.28
18,Other Injuries,1.17
19,Tuberculosis,1.17
20,Lung Disease,1.08
21,Suicide,1.03
22,Liver Cancer,0.78
23,Colon-Rectum Cancers,0.69
24,Violence,0.65
25,Breast Cancer,0.63
26,Drownings,0.56
27,Lymphomas,0.54
28,Oral Cancer,0.49
29,Rheumatic Heart Disease,0.47
30,Fires,0.45
31,Endocrine Disorders,0.44
32,Leukemia,0.43
33,Cervical Cancer,0.34
34,Epilepsy,0.31
35,Peptic Ulcer Disease,0.30
36,Alcohol,0.29
37,Other Neoplasms,0.29
38,Falls,0.29
39,Parkinson's Disease,0.25
40,Drug Use,0.25
41,Meningitis,0.23
42,Pancreas Cancer,0.23
43,Bladder Cancer,0.18
44,Encephalitis,0.16
45,Ovary Cancer,0.14
46,Hepatitis B,0.13
47,Skin Cancers,0.12
48,Poisonings,0.11
49,Uterin Cancer,0.11
