,DeathCause,Percentage
0,Coronary Heart Disease,41.70
1,Stroke,10.87
2,Hypertension,6.81
3,Liver Disease,4.46
4,Diabetes Mellitus,3.63
5,Kidney Disease,3.27
6,Influenza and Pneumonia,3.18
7,Low Birth Weight,2.01
8,Road Traffic Accidents,1.82
9,Congenital Anomalies,1.75
10,Suicide,1.47
11,Birth Trauma,1.46
12,Other Injuries,1.28
13,Stomach Cancer,1.27
14,Tuberculosis,1.19
15,Lung Disease,1.17
16,Lung Cancers,0.95
17,Breast Cancer,0.92
18,Drownings,0.63
19,Liver Cancer,0.61
20,Asthma,0.57
21,Diarrhoeal diseases,0.50
22,Cervical Cancer,0.50
23,Colon-Rectum Cancers,0.48
24,Oesophagus Cancer,0.48
25,Epilepsy,0.41
26,Oral Cancer,0.40
27,Rheumatic Heart Disease,0.39
28,Encephalitis,0.38
29,Leukemia,0.38
30,Peptic Ulcer Disease,0.38
31,HIV/AIDS,0.37
32,Violence,0.37
33,Lymphomas,0.33
34,Fires,0.29
35,Other Neoplasms,0.27
36,Inflammatory/Heart,0.26
37,Alzheimers & Dementia,0.25
38,Pancreas Cancer,0.24
39,Falls,0.24
40,Drug Use,0.21
41,Poisonings,0.21
42,Hepatitis B,0.18
43,Endocrine Disorders,0.15
44,Maternal Conditions,0.15
45,Uterin Cancer,0.15
46,Ovary Cancer,0.15
47,Bladder Cancer,0.14
48,Alcohol,0.14
49,Prostate Cancer,0.11
