,DeathCause,Percentage
0,Stroke,16.01
1,Coronary Heart Disease,13.22
2,Alzheimers & Dementia,6.19
3,Liver Cancer,5.58
4,Road Traffic Accidents,4.44
5,Lung Disease,4.41
6,Lung Cancers,4.26
7,Diabetes Mellitus,4.06
8,Liver Disease,3.51
9,Influenza and Pneumonia,3.24
10,Kidney Disease,3.13
11,Stomach Cancer,2.59
12,Falls,2.56
13,Tuberculosis,2.50
14,Congenital Anomalies,1.73
15,Hypertension,1.73
16,HIV/AIDS,1.56
17,Low Birth Weight,1.54
18,Asthma,1.39
19,Suicide,1.34
20,Drownings,1.34
21,Other Injuries,1.24
22,Colon-Rectum Cancers,0.99
23,Oral Cancer,0.93
24,Leukemia,0.83
25,Inflammatory/Heart,0.81
26,Violence,0.71
27,Peptic Ulcer Disease,0.71
28,Diarrhoeal diseases,0.67
29,Cervical Cancer,0.60
30,Breast Cancer,0.60
31,Birth Trauma,0.52
32,Endocrine Disorders,0.44
33,Epilepsy,0.41
34,Parkinson's Disease,0.36
35,Lymphomas,0.31
36,Rheumatic Heart Disease,0.31
37,Encephalitis,0.29
38,Uterin Cancer,0.28
39,Skin Disease,0.27
40,Oesophagus Cancer,0.27
41,Drug Use,0.20
42,Other Neoplasms,0.19
43,Maternal Conditions,0.17
44,Poisonings,0.17
45,Alcohol,0.17
46,Prostate Cancer,0.16
47,Meningitis,0.15
48,Pancreas Cancer,0.14
49,Hepatitis B,0.12
