,DeathCause,Percentage
0,HIV/AIDS,19.05
1,Influenza and Pneumonia,9.52
2,Diarrhoeal diseases,7.28
3,Malaria,6.05
4,Coronary Heart Disease,4.67
5,Birth Trauma,4.41
6,Tuberculosis,4.28
7,Low Birth Weight,4.21
8,Road Traffic Accidents,3.78
9,Malnutrition,3.41
10,Stroke,3.24
11,Congenital Anomalies,2.53
12,Meningitis,2.28
13,Liver Disease,1.86
14,Other Injuries,1.68
15,Violence,1.51
16,Maternal Conditions,1.42
17,Diabetes Mellitus,1.33
18,Cervical Cancer,1.17
19,Lung Disease,1.08
20,Falls,1.07
21,Hypertension,0.94
22,Suicide,0.91
23,Drownings,0.89
24,Alzheimers & Dementia,0.84
25,Endocrine Disorders,0.69
26,Fires,0.69
27,Kidney Disease,0.68
28,Asthma,0.55
29,Prostate Cancer,0.54
30,Oesophagus Cancer,0.50
31,Skin Disease,0.48
32,Peptic Ulcer Disease,0.46
33,Poisonings,0.44
34,Syphilis,0.44
35,Lymphomas,0.42
36,Inflammatory/Heart,0.38
37,Breast Cancer,0.38
38,Epilepsy,0.37
39,Hepatitis B,0.33
40,Other Neoplasms,0.31
41,Colon-Rectum Cancers,0.25
42,Tetanus,0.24
43,Stomach Cancer,0.23
44,Liver Cancer,0.23
45,Oral Cancer,0.20
46,Schistosomiasis,0.19
47,Appendicitis,0.17
48,Rheumatic Heart Disease,0.15
49,Alcohol,0.15
