,Country,Code
0,afghanistan,AFG
1,albania,ALB
2,algeria,DZA
3,angola,AGO
4,antigua-and-barbuda,ATG
5,arab-emirates,ARE
6,argentina,ARG
7,armenia,ARM
8,australia,AUS
9,austria,AUT
10,azerbaijan,AZE
11,bahamas,BHS
12,bahrain,BHR
13,bangladesh,BGD
14,barbados,BRB
15,belarus,BLR
16,belgium,BEL
17,belize,BLZ
18,benin,BEN
19,bhutan,BTN
20,bolivia,BOL
21,bosnia-herzeg,BIH
22,botswana,BWA
23,brazil,BRA
24,brunei,BRN
25,bulgaria,BGR
26,burkina-faso,BFA
27,burundi,BDI
28,cambodia,KHM
29,cameroon,CMR
30,canada,CAN
31,cape-verde,CPV
32,central-africa,CAF
33,chad,TCD
34,chile,CHL
35,china,CHN
36,colombia,COL
37,comoros,COM
38,congo,COG
39,costa-rica,CRI
40,cote-d-ivoire,CIV
41,croatia,HRV
42,cuba,CUB
43,cyprus,CYP
44,czech-republic,CZE
45,denmark,DNK
46,djibouti,DJI
47,dominican-rep,DMA
48,dr-congo,COG
49,ecuador,ECU
50,egypt,EGY
51,el-salvador,SLV
52,equatorial-guinea,GNQ
53,eritrea,ERI
54,estonia,EST
55,ethiopia,ETH
56,fiji,FJI
57,finland,FIN
58,france,FRA
59,gabon,GAB
60,gambia,GMB
61,georgia,GEO
62,germany,DEU
63,ghana,GHA
64,greece,GRC
65,grenada,GRD
66,guatemala,GTM
67,guinea,GIN
68,guinea-bissau,GNB
69,guyana,GUY
70,haiti,HTI
71,honduras,HND
72,hungary,HUN
73,iceland,ISL
74,india,IND
75,indonesia,IDN
76,iran,IRN
77,iraq,IRQ
78,ireland,IRL
79,israel,ISR
80,italy,ITA
81,jamaica,JAM
82,japan,JPN
83,jordan,JOR
84,kazakhstan,KAZ
85,kenya,KEN
86,kiribati,KIR
87,kuwait,KWT
88,kyrgyzstan,KGZ
89,laos,BRB
90,latvia,LVA
91,lebanon,LBN
92,lesotho,LSO
93,liberia,LBR
94,libya,LBY
95,lithuania,LTU
96,luxembourg,LUX
97,madagascar,MDG
98,malawi,MWI
99,malaysia,MYS
100,maldives,MDV
101,mali,MLI
102,malta,MLT
103,mauritania,MRT
104,mauritius,MUS
105,mexico,MEX
106,micronesia,FSM
107,moldova,MDA
108,mongolia,MNG
109,montenegro,MNE
110,morocco,MAR
111,mozambique,MOZ
112,myanmar,MMR
113,namibia,NAM
114,nepal,NPL
115,netherlands,NLD
116,new-guinea,GIN
117,new-zealand,NZL
118,nicaragua,NIC
119,niger,NER
120,nigeria,NGA
121,macedonia,MKD
122,north-korea,PRK
123,norway,NOR
124,oman,OMN
125,pakistan,PAK
126,panama,PAN
127,paraguay,PRY
128,peru,PER
129,philippines,PHL
130,poland,POL
131,portugal,PRT
132,qatar,QAT
133,romania,ROU
134,russia,RUS
135,rwanda,RWA
136,saint-lucia,LCA
137,saint-vincent,VCT
138,samoa,WSM
139,sao-tome,STP
140,saudi-arabia,SAU
141,senegal,SEN
142,serbia,SRB
143,seychelles,SYC
144,sierra-leone,SLE
145,singapore,SGP
146,slovakia,SVK
147,slovenia,SVN
148,solomon-islands,SLB
149,somalia,SOM
150,south-africa,ZAF
151,south-korea,KOR
152,south-sudan,SDN
153,spain,ESP
154,sri-lanka,LKA
155,sudan,SDN
156,suriname,SUR
157,swaziland,SWZ
158,sweden,SWE
159,switzerland,CHE
160,syria,SYR
161,tajikistan,TJK
162,tanzania,TZA
163,thailand,THA
164,timor-leste,TLS
165,togo,TGO
166,tonga,TON
167,trinidad-tobago,TTO
168,tunisia,TUN
169,turkey,TUR
170,turkmenistan,TKM
171,uganda,UGA
172,ukraine,UKR
173,united-kingdom,GBR
174,united-states,USA
175,uruguay,URY
176,uzbekistan,UZB
177,vanuatu,VUT
178,venezuela,VEN
179,viet-nam,VNM
180,yemen,YEM
181,zambia,ZMB
182,zimbabwe,ZWE
