,Country
0,afghanistan
1,albania
2,algeria
3,angola
4,antigua-and-barbuda
5,arab-emirates
6,argentina
7,armenia
8,australia
9,austria
10,azerbaijan
11,bahamas
12,bahrain
13,bangladesh
14,barbados
15,belarus
16,belgium
17,belize
18,benin
19,bhutan
20,bolivia
21,bosnia-herzeg
22,botswana
23,brazil
24,brunei
25,bulgaria
26,burkina-faso
27,burundi
28,cambodia
29,cameroon
30,canada
31,cape-verde
32,central-africa
33,chad
34,chile
35,china
36,colombia
37,comoros
38,congo
39,costa-rica
40,cote-d-ivoire
41,croatia
42,cuba
43,cyprus
44,czech-republic
45,denmark
46,djibouti
47,dominican-rep
48,dr-congo
49,ecuador
50,egypt
51,el-salvador
52,equatorial-guinea
53,eritrea
54,estonia
55,ethiopia
56,fiji
57,finland
58,france
59,gabon
60,gambia
61,georgia
62,germany
63,ghana
64,greece
65,grenada
66,guatemala
67,guinea
68,guinea-bissau
69,guyana
70,haiti
71,honduras
72,hungary
73,iceland
74,india
75,indonesia
76,iran
77,iraq
78,ireland
79,israel
80,italy
81,jamaica
82,japan
83,jordan
84,kazakhstan
85,kenya
86,kiribati
87,kuwait
88,kyrgyzstan
89,laos
90,latvia
91,lebanon
92,lesotho
93,liberia
94,libya
95,lithuania
96,luxembourg
97,madagascar
98,malawi
99,malaysia
100,maldives
101,mali
102,malta
103,mauritania
104,mauritius
105,mexico
106,micronesia
107,moldova
108,mongolia
109,montenegro
110,morocco
111,mozambique
112,myanmar
113,namibia
114,nepal
115,netherlands
116,new-guinea
117,new-zealand
118,nicaragua
119,niger
120,nigeria
121,macedonia
122,north-korea
123,norway
124,oman
125,pakistan
126,panama
127,paraguay
128,peru
129,philippines
130,poland
131,portugal
132,qatar
133,romania
134,russia
135,rwanda
136,saint-lucia
137,saint-vincent
138,samoa
139,sao-tome
140,saudi-arabia
141,senegal
142,serbia
143,seychelles
144,sierra-leone
145,singapore
146,slovakia
147,slovenia
148,solomon-islands
149,somalia
150,south-africa
151,south-korea
152,south-sudan
153,spain
154,sri-lanka
155,sudan
156,suriname
157,swaziland
158,sweden
159,switzerland
160,syria
161,tajikistan
162,tanzania
163,thailand
164,timor-leste
165,togo
166,tonga
167,trinidad-tobago
168,tunisia
169,turkey
170,turkmenistan
171,uganda
172,ukraine
173,united-kingdom
174,united-states
175,uruguay
176,uzbekistan
177,vanuatu
178,venezuela
179,viet-nam
180,yemen
181,zambia
182,zimbabwe
